Alex,Dan,Joanna,Jacques,5
Dan,Alex,Melisa,Jason,2
Dan,Alex,Joanna,Jacques,4
Dan,Alex,Jason,Joanna,4
Brian,Dan,Joanna,Jason,7
KevinL,Ajith,Bing,Joanna,3
JonJ,Jason,KevinL,Ajith,5
JonJ,Jason,Brian,JohnH,3
JonJ,Jason,Alex,Dan,5
Reynolds,Ajith,JonJ,Jason,6
Brian,JohnH,Reynolds,Ajith,7
Alex,Dan,Brian,JohnH,2
Alex,Dan,Jason,JohnH,7
Alex,Dan,Reynolds,Ajith,7
Zach,JohnH,Melisa,Chris,5
Zach,JohnH,Melisa,Chris,4
Zach,JohnH,Reynolds,Jason,6
Joanna,Alex,Zach,Reynolds,5
Alex,Joanna,JohnH,Jacques,5
Dan,Alex,Jason,Zach,4
Dan,Alex,Reynolds,Chris,6
Alex,Dan,Joanna,Jacques,5
Dan,Alex,Melisa,Jason,2
Dan,Alex,Joanna,Jacques,4
Dan,Alex,Jason,Joanna,4
